legacy_partner_source,legacy_partner_id,name,reason,matched_ids
xlsx_supplier_cooperat_company,name:德阳木盛旺建材有限公司,德阳木盛旺建材有限公司,multiple_name_matches,1418;733
xlsx_supplier_cooperat_company,name:德阳欣宇玉诚商贸有限公司,德阳欣宇玉诚商贸有限公司,multiple_name_matches,8527;7631;1847
xlsx_supplier_cooperat_company,name:德阳经开区旌鸿茂机械租赁经营部个体工商户,德阳经开区旌鸿茂机械租赁经营部（个体工商户）,multiple_name_matches,6377;5079;4170
xlsx_supplier_cooperat_company,name:忠县富民劳务有限责任公司,忠县富民劳务有限责任公司,multiple_name_matches,2870;2592
xlsx_supplier_cooperat_company,name:成华区转棉品商贸部,成华区转棉品商贸部,multiple_name_matches,5454;4145
xlsx_supplier_cooperat_company,name:成都众冠新五金交电有限公司,成都众冠新五金交电有限公司,multiple_name_matches,2112;1526
xlsx_supplier_cooperat_company,name:成都宁锋商贸有限公司,成都宁锋商贸有限公司,multiple_name_matches,8535;4995
xlsx_supplier_cooperat_company,name:成都市长峰钢铁集团有限公司,成都市长峰钢铁集团有限公司,multiple_name_matches,1689;1245
xlsx_supplier_cooperat_company,name:成都玲菲家具有限公司,成都玲菲家具有限公司,multiple_name_matches,3038;2468
xlsx_supplier_cooperat_company,name:成都磊数科技有限公司,成都磊数科技有限公司,multiple_name_matches,7671;2487;690
xlsx_supplier_cooperat_company,name:成都鑫蓉逸商贸有限公司,成都鑫蓉逸商贸有限公司,multiple_name_matches,2252;127
xlsx_supplier_cooperat_company,name:成都长红润晨建材有限公司,成都长红润晨建材有限公司,multiple_name_matches,8537;7675;213
xlsx_supplier_cooperat_company,name:成都阿城非融资性担保有限公司,成都阿城非融资性担保有限公司,multiple_name_matches,4528;641
xlsx_supplier_cooperat_company,name:新疆亿通强星线缆有限公司,新疆亿通强星线缆有限公司,multiple_name_matches,5457;5019;4816
xlsx_supplier_cooperat_company,name:新疆凌新建筑工程有限公司,新疆凌新建筑工程有限公司,multiple_name_matches,8538;6519;5941
xlsx_supplier_cooperat_company,name:新疆纵源劳务分包有限公司喀什分公司,新疆纵源劳务分包有限公司喀什分公司,multiple_name_matches,3585;3495
xlsx_supplier_cooperat_company,name:旌阳区富玉建材经营部,旌阳区富玉建材经营部,multiple_name_matches,7687;2685;2385
xlsx_supplier_cooperat_company,name:旌阳区忠明工程机械设备租赁服务部,旌阳区忠明工程机械设备租赁服务部.,multiple_name_matches,8539;6482
xlsx_supplier_cooperat_company,name:旌阳区旌南建筑设备租赁站,旌阳区旌南建筑设备租赁站,multiple_name_matches,4850;1613
xlsx_supplier_cooperat_company,name:旌阳区星龙机电经营部,旌阳区星龙机电经营部,multiple_name_matches,7413;2724
xlsx_supplier_cooperat_company,name:旌阳区益诚建材经营部,旌阳区益诚建材经营部,multiple_name_matches,1326;264
xlsx_supplier_cooperat_company,name:旌阳区睿行达建筑材料经营部,旌阳区睿行达建筑材料经营部,multiple_name_matches,5520;4041
xlsx_supplier_cooperat_company,name:旌阳区艳阳天木门经营部,旌阳区艳阳天木门经营部,multiple_name_matches,5866;1687
xlsx_supplier_cooperat_company,name:旌阳区裕鑫五金经营部,旌阳区裕鑫五金经营部,multiple_name_matches,5683;5486
xlsx_supplier_cooperat_company,name:旌阳区金益建材经营部,旌阳区金益建材经营部,multiple_name_matches,4661;1487
xlsx_supplier_cooperat_company,name:旌阳区鑫宇建材经营部,旌阳区鑫宇建材经营部,multiple_name_matches,8543;7705;3171
xlsx_supplier_cooperat_company,name:旌阳区雷盾电动门维修经营部,旌阳区雷盾电动门维修经营部,multiple_name_matches,2241;417
xlsx_supplier_cooperat_company,name:旌阳区黄许镇建创机械租赁部,旌阳区黄许镇建创机械租赁部,multiple_name_matches,6286;5077
xlsx_supplier_cooperat_company,name:普格县顺达经营部,普格县顺达经营部,multiple_name_matches,1052;276
xlsx_supplier_cooperat_company,name:曲木求汉,曲木求汉,multiple_name_matches,5451;379
xlsx_supplier_cooperat_company,name:李俭锋,李俭锋,multiple_name_matches,6926;6790;65
xlsx_supplier_cooperat_company,name:格尔木兴磊水泥制品厂,格尔木兴磊水泥制品厂,multiple_name_matches,1046;539
xlsx_supplier_cooperat_company,name:格尔木嘉实混凝土搅拌有限公司,格尔木嘉实混凝土搅拌有限公司,multiple_name_matches,2637;862
xlsx_supplier_cooperat_company,name:永川区启乘机械设备租赁经营部个体工商户,永川区启乘机械设备租赁经营部（个体工商户）,multiple_name_matches,5084;4466
xlsx_supplier_cooperat_company,name:永州市智博工程有限公司,永州市智博工程有限公司,multiple_name_matches,2943;2143
xlsx_supplier_cooperat_company,name:江津区恒峰铝合金加工经营部,江津区恒峰铝合金加工经营部,multiple_name_matches,4277;3719
xlsx_supplier_cooperat_company,name:沙坪坝区鑫之顺五金建材经营部个体工商户,沙坪坝区鑫之顺五金建材经营部（个体工商户）,multiple_name_matches,4389;4375
xlsx_supplier_cooperat_company,name:深圳市正泓融资担保有限公司,深圳市正泓融资担保有限公司,multiple_name_matches,2844;1028
xlsx_supplier_cooperat_company,name:清远市汝通运输有限公司,清远市汝通运输有限公司,multiple_name_matches,1780;1604
xlsx_supplier_cooperat_company,name:渝北区鸣谦机械设备租赁站,渝北区鸣谦机械设备租赁站,multiple_name_matches,8554;4045;3922
xlsx_supplier_cooperat_company,name:璧山区富有建筑机械设备租赁站,璧山区富有建筑机械设备租赁站,multiple_name_matches,2666;319
xlsx_supplier_cooperat_company,name:璧山区林建工程机械租赁经营部,璧山区林建工程机械租赁经营部,multiple_name_matches,5210;4315;4140
xlsx_supplier_cooperat_company,name:璧山区渝跃建筑设备租赁站,璧山区渝跃建筑设备租赁站,multiple_name_matches,1667;1213
xlsx_supplier_cooperat_company,name:疏勒县农村信用合作联社,疏勒县农村信用合作联社,multiple_name_matches,8555;5908
xlsx_supplier_cooperat_company,name:疏附县华拓机械租赁部,疏附县华拓机械租赁部,multiple_name_matches,5020;4347
xlsx_supplier_cooperat_company,name:税务局,税务局,multiple_name_matches,7743;6814;6778
xlsx_supplier_cooperat_company,name:简平凡,简平凡,multiple_name_matches,6923;6777
xlsx_supplier_cooperat_company,name:绵竹市辰之兴工程管理服务部,绵竹市辰之兴工程管理服务部,multiple_name_matches,4119;3055
xlsx_supplier_cooperat_company,name:绵阳市游仙区福贵工程机械租赁部,绵阳市游仙区福贵工程机械租赁部,multiple_name_matches,3970;3490
xlsx_supplier_cooperat_company,name:绵阳源来志承油脂销售有限公司,绵阳源来志承油脂销售有限公司,multiple_name_matches,8560;6516;4579
xlsx_supplier_cooperat_company,name:绵阳精运物流服务有限公司,绵阳精运物流服务有限公司,multiple_name_matches,8561;6413;4249
xlsx_supplier_cooperat_company,name:绵阳鑫泰水泥制品有限公司,绵阳鑫泰水泥制品有限公司,multiple_name_matches,8562;7272;2990
xlsx_supplier_cooperat_company,name:肖辉玖,肖辉玖,multiple_name_matches,6882;6766;67
xlsx_supplier_cooperat_company,name:荣昌区昌州街道如鸿挖掘机租赁站,荣昌区昌州街道如鸿挖掘机租赁站,multiple_name_matches,8567;5882;5174
xlsx_supplier_cooperat_company,name:西藏景胜工程技术有限公司,西藏景胜工程技术有限公司,multiple_name_matches,4355;3342
xlsx_supplier_cooperat_company,name:西藏纵驰水电工程管理有限公司,西藏纵驰水电工程管理有限公司,multiple_name_matches,4839;1605
xlsx_supplier_cooperat_company,name:遂宁市祥通建材有限公司,遂宁市祥通建材有限公司,multiple_name_matches,2560;1152
xlsx_supplier_cooperat_company,name:重庆中法供水有限公司,重庆中法供水有限公司,multiple_name_matches,2212;2035
xlsx_supplier_cooperat_company,name:重庆伟翰建筑设备租赁有限公司,重庆伟翰建筑设备租赁有限公司,multiple_name_matches,6442;4559;4328
xlsx_supplier_cooperat_company,name:重庆刚宏鑫茂科技有限公司,重庆刚宏鑫茂科技有限公司,multiple_name_matches,2290;1742
xlsx_supplier_cooperat_company,name:重庆启和国际物流有限公司,重庆启和国际物流有限公司,multiple_name_matches,2575;391
xlsx_supplier_cooperat_company,name:重庆图南供应链有限公司,重庆图南供应链有限公司,multiple_name_matches,8584;6246;2568
xlsx_supplier_cooperat_company,name:重庆坤蕴建筑劳务有限公司,重庆坤蕴建筑劳务有限公司,multiple_name_matches,5986;3489
xlsx_supplier_cooperat_company,name:重庆婷创机械设备租赁有限公司,重庆婷创机械设备租赁有限公司,multiple_name_matches,6178;6132;1337
xlsx_supplier_cooperat_company,name:重庆市南川区财政局,重庆市南川区财政局,multiple_name_matches,4526;3927;3589
xlsx_supplier_cooperat_company,name:重庆市夏禾装饰工程有限责任公司,重庆市夏禾装饰工程有限责任公司,multiple_name_matches,4808;3064
xlsx_supplier_cooperat_company,name:重庆建发建筑劳务有限公司,重庆建发建筑劳务有限公司,multiple_name_matches,8587;4933;4886
xlsx_supplier_cooperat_company,name:重庆意鼎机械租赁有限公司,重庆意鼎机械租赁有限公司,multiple_name_matches,1183;265
xlsx_supplier_cooperat_company,name:重庆戴杨合建材有限公司,重庆戴杨合建材有限公司,multiple_name_matches,2387;271
xlsx_supplier_cooperat_company,name:重庆映锦建筑劳务有限公司,重庆映锦建筑劳务有限公司,multiple_name_matches,191;133
xlsx_supplier_cooperat_company,name:重庆智辉建筑工程设备租赁有限公司,重庆智辉建筑工程设备租赁有限公司,multiple_name_matches,1272;917
xlsx_supplier_cooperat_company,name:重庆柯腾建筑劳务有限公司,重庆柯腾建筑劳务有限公司,multiple_name_matches,8590;3884;2766
xlsx_supplier_cooperat_company,name:重庆汇尔固机电设备有限公司,重庆汇尔固机电设备有限公司,multiple_name_matches,6534;3901;2674
xlsx_supplier_cooperat_company,name:重庆泸酒阁商贸有限公司,重庆泸酒阁商贸有限公司,multiple_name_matches,6177;6064
xlsx_supplier_cooperat_company,name:重庆腾晟建筑劳务有限公司,重庆腾晟建筑劳务有限公司,multiple_name_matches,2464;1807
xlsx_supplier_cooperat_company,name:重庆象征建筑设备租赁有限公司,重庆象征建筑设备租赁有限公司,multiple_name_matches,6477;6454
xlsx_supplier_cooperat_company,name:重庆鑫亚坤新型环保建材有限公司,重庆鑫亚坤新型环保建材有限公司,multiple_name_matches,2917;2842
xlsx_supplier_cooperat_company,name:重庆零零柒工程担保有限公司,重庆零零柒工程担保有限公司,multiple_name_matches,8595;5972;4086
xlsx_supplier_cooperat_company,name:金牛区浩辉建材经营部,金牛区浩辉建材经营部,multiple_name_matches,8596;4962;4592
xlsx_supplier_cooperat_company,name:铜梁区春林建筑设备租赁站,铜梁区春林建筑设备租赁站,multiple_name_matches,6338;2810;511
xlsx_supplier_cooperat_company,name:铜梁区渝铜电脑商行,铜梁区渝铜电脑商行,multiple_name_matches,3496;3186
xlsx_supplier_cooperat_company,name:陕西仝禾建设工程有限责任公司疏勒县分公司,陕西仝禾建设工程有限责任公司疏勒县分公司,multiple_name_matches,5829;3776
xlsx_supplier_cooperat_company,name:零星发票,零星发票,multiple_name_matches,6335;5418;3635
xlsx_supplier_cooperat_company,name:麦盖提县盛源水利电力工程有限公司,麦盖提县盛源水利电力工程有限公司,multiple_name_matches,8607;6272;4498
