partner_key,legacy_partner_source,legacy_partner_id,legacy_partner_ids,name,company_type,customer_rank,supplier_rank,sc_supplier_type,sc_account_name,sc_bank_name,sc_bank_account,vat,legacy_credit_code,source_created_by,source_created_at,source_project_name,source_document_state,source_push_result,source_tax_rate,source_files,legacy_source_evidence,review_flags
name:重庆燕仁坤供应链有限公司,xlsx_supplier_cooperat_company,name:重庆燕仁坤供应链有限公司,,重庆燕仁坤供应链有限公司,company,0,1,other,,,,,,lilinxu,2022-11-09 17:04,公司综合平台,审核通过,,,2-4往来单位639136898155170000.xlsx,user_xlsx_supplier_cooperat_company:2-4往来单位639136898155170000.xlsx,duplicate_name_in_xlsx
name:重庆燕牌电线电缆有限公司,xlsx_supplier_cooperat_company,name:重庆燕牌电线电缆有限公司,,重庆燕牌电线电缆有限公司,company,0,1,other,,,,,,lilinxu,2021-12-29 15:42,公司综合平台,审核通过,,,2-5往来单位639136898994232500.xlsx,user_xlsx_supplier_cooperat_company:2-5往来单位639136898994232500.xlsx,duplicate_name_in_xlsx
name:重庆特裕建筑工程有限公司,xlsx_supplier_cooperat_company,name:重庆特裕建筑工程有限公司,,重庆特裕建筑工程有限公司,company,0,1,other,,,,,,lilinxu,2021-12-16 14:18,公司综合平台,审核通过,,,2-5往来单位639136898994232500.xlsx,user_xlsx_supplier_cooperat_company:2-5往来单位639136898994232500.xlsx,duplicate_name_in_xlsx
name:重庆砼磊高新混凝土有限公司,xlsx_supplier_cooperat_company,name:重庆砼磊高新混凝土有限公司,,重庆砼磊高新混凝土有限公司,company,0,1,other,,,,,,lilinxu,2021-10-11 12:04,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
name:重庆硕博石材有限公司,xlsx_supplier_cooperat_company,name:重庆硕博石材有限公司,,重庆硕博石材有限公司,company,0,1,other,,,,,,liwei,2021-10-25 11:16,公司综合平台,审核通过,,,2-5往来单位639136898994232500.xlsx,user_xlsx_supplier_cooperat_company:2-5往来单位639136898994232500.xlsx,duplicate_name_in_xlsx
name:重庆磐飞建筑有限公司,xlsx_supplier_cooperat_company,name:重庆磐飞建筑有限公司,,重庆磐飞建筑有限公司,company,0,1,other,,,,,,lilinxu,2021-09-13 16:17,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
name:重庆福德兴电力设备有限公司,xlsx_supplier_cooperat_company,name:重庆福德兴电力设备有限公司,,重庆福德兴电力设备有限公司,company,0,1,other,,,,,,lilinxu,2022-01-13 09:46,公司综合平台,审核通过,,,2-5往来单位639136898994232500.xlsx,user_xlsx_supplier_cooperat_company:2-5往来单位639136898994232500.xlsx,duplicate_name_in_xlsx
name:重庆福美涂商贸有限公司,xlsx_supplier_cooperat_company,name:重庆福美涂商贸有限公司,,重庆福美涂商贸有限公司,company,0,1,other,,,,,,lilinxu,2021-03-18 16:29,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
name:重庆禹米建材有限公司,xlsx_supplier_cooperat_company,name:重庆禹米建材有限公司,,重庆禹米建材有限公司,company,0,1,other,,,,,,lilinxu,2021-10-26 11:23,公司综合平台,审核通过,,,2-5往来单位639136898994232500.xlsx,user_xlsx_supplier_cooperat_company:2-5往来单位639136898994232500.xlsx,duplicate_name_in_xlsx
name:重庆精科仪表制造有限责任公司,xlsx_supplier_cooperat_company,name:重庆精科仪表制造有限责任公司,,重庆精科仪表制造有限责任公司,company,0,1,other,,,,,,lilinxu,2020-11-24 16:43,公司综合平台,审核通过,,,2-7往来单位639136900577513750.xlsx,user_xlsx_supplier_cooperat_company:2-7往来单位639136900577513750.xlsx,duplicate_name_in_xlsx
name:重庆美旭建材有限公司,xlsx_supplier_cooperat_company,name:重庆美旭建材有限公司,,重庆美旭建材有限公司,company,0,1,other,,,,,,lilinxu,2022-01-10 11:58,公司综合平台,审核通过,,,2-5往来单位639136898994232500.xlsx,user_xlsx_supplier_cooperat_company:2-5往来单位639136898994232500.xlsx,duplicate_name_in_xlsx
name:重庆聚材邦建材有限公司,xlsx_supplier_cooperat_company,name:重庆聚材邦建材有限公司,,重庆聚材邦建材有限公司,company,0,1,other,,,,,,liwei,2021-12-16 11:05,公司综合平台,审核通过,,,2-5往来单位639136898994232500.xlsx,user_xlsx_supplier_cooperat_company:2-5往来单位639136898994232500.xlsx,duplicate_name_in_xlsx
name:重庆舒心工程机械租赁有限公司,xlsx_supplier_cooperat_company,name:重庆舒心工程机械租赁有限公司,,重庆舒心工程机械租赁有限公司,company,0,1,other,,,,,,lilinxu,2021-08-23 17:15,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
name:重庆芳园建设工程咨询有限公司,xlsx_supplier_cooperat_company,name:重庆芳园建设工程咨询有限公司,,重庆芳园建设工程咨询有限公司,company,0,1,other,,,,,,lilinxu,2021-01-08 10:32,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
