row_no,evidence_grade,legacy_partner_source,legacy_partner_id,partner_name,tax_number,sources,source_row_count,blockers,recommended_next_task
80,missing_tax_company_duplicate_review,cooperat_company,27af3fdab1a541888120f261ac87d78e,中国人民解放军陆军特色医学中心,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
83,missing_tax_complex_merge_review,company;supplier,15354c616f5046169ee325fd62f4c4b1,中国人民财产保险股份有限公司德阳市分公司,,company;supplier,3,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_complex_merge_review
97,missing_tax_company_supplier_pair_review,company;supplier,dcbcfa37bcf947379d5021b8da0a32d5,中国大地财产保险股份有限公司四川分公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
108,missing_tax_company_duplicate_review,cooperat_company,317dfb0a49914aedbc71a4784b85e282,中国平安财产保险股份有限公司天津分公司,,company,4,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
109,missing_tax_company_supplier_pair_review,company;supplier,caffb87d3a654c3681dd1bfc659a86bc,中国平安财产保险股份有限公司重庆分公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
110,missing_tax_company_duplicate_review,cooperat_company,269D7E9D1400424683B5F4E04C1B1A06,中国建筑一局（集团）有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
111,missing_tax_company_duplicate_review,cooperat_company,9D598AA886B8493D8143D98EF587F685,中国建筑第八工程局有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
112,missing_tax_company_duplicate_review,cooperat_company,4e1beb51a1024c5381a64cc72dcb47df,中国建筑第六工程局有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
113,missing_tax_company_duplicate_review,cooperat_company,099cc4630a5b49d09cb90f70ed8144b3,中国建筑第四工程局有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
119,missing_tax_company_duplicate_review,cooperat_company,2dc5de81fff64fda8373debaecaac98a,中国机电工程招标有限公司,,company,6,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
126,missing_tax_company_supplier_pair_review,company;supplier,519ac7a8b8354e48bef8585b044bc32c,中国石化销售股份有限公司四川攀枝花石油分公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
132,missing_tax_company_duplicate_review,cooperat_company,1459E0CA0CFD444C8B5212B596490A04,中国石油天然气第七建设有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
134,missing_tax_company_duplicate_review,cooperat_company,04a8710a44ed45328929449164d6de56,中国石油天然气股份有限公司四川销售分公司,,company,4,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
155,missing_tax_company_duplicate_review,cooperat_company,587c5af87ae14c5392b4406df6c6551c,中国第二重型机械集团(德阳)万安物业发展有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
174,missing_tax_company_supplier_pair_review,company;supplier,a991a665f42343e9a931f67d7592c4b8,中山市佰众机电有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
178,missing_tax_company_duplicate_review,cooperat_company,82931e90ee2746ae9c97b7d58d614a54,中建二局第二建筑工程有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
182,missing_tax_company_duplicate_review,cooperat_company,8d8201f8a31346cfb19f301bdba8330d,中建四局第一建设有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
187,missing_tax_company_duplicate_review,cooperat_company,36754034ace34b49a49ce21131f0541c,中惠保险经纪有限公司,,company,5,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
193,missing_tax_company_duplicate_review,cooperat_company,33395bc28e964194abc3564ec362d277,中核（上海）供应链管理有限公司,,company,5,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
195,missing_tax_company_supplier_pair_review,company;supplier,cca5534006814586b5d5ee5698aaeed1,中江俊智商贸有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
196,missing_tax_company_supplier_pair_review,company;supplier,d7b51ff0970f4972b44cb5b6d9ce2b56,中江元康建筑机械租赁有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
197,missing_tax_company_supplier_pair_review,company;supplier,3aa81367881243b7b3444ed1548c2fc0,中江准点商品砼有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
198,missing_tax_company_duplicate_review,cooperat_company,4fadd8e3f4f044d095901147547fce0a,中江凯兴建设投资有限公司,,company,3,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
199,missing_tax_company_supplier_pair_review,company;supplier,3e225c5d798f4022965150d975b3558e,中江县东北镇和盛安防产品经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
207,missing_tax_company_supplier_pair_review,company;supplier,bc2459c57cdb4f1786c7d5f4023797d4,中江县凯江镇天山五金经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
209,missing_tax_company_supplier_pair_review,company;supplier,5383afa2ba1b4df8b93f8ad814e0d555,中江县凯江镇显英建材经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
210,missing_tax_company_supplier_pair_review,company;supplier,4b8766aa632a4546a79ca687f9d1d054,中江县凯江镇芯维电脑经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
211,missing_tax_company_supplier_pair_review,company;supplier,fe07e70bba764bec9541710bb423e3a9,中江县凯江镇龙升玻璃经营门市部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
212,missing_tax_company_supplier_pair_review,company;supplier,ed5fbb116d6b4fe992ccb4766ab06053,中江县南华镇余枫建材经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
213,missing_tax_company_supplier_pair_review,company;supplier,7434d730843e443e916a6c598c554e19,中江县南华镇德利五金建材经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
214,missing_tax_company_supplier_pair_review,company;supplier,3dfe93691a094cd08304e5075daebdbd,中江县南华镇林瑞建材经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
215,missing_tax_company_supplier_pair_review,company;supplier,f160daa1a8404ad29af887b21229d86c,中江县南华镇红立建材经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
216,missing_tax_company_supplier_pair_review,company;supplier,cbd1ad431e3c42bba82a365265c6ce79,中江县南华镇邓成秀机械租赁服务部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
218,missing_tax_company_supplier_pair_review,company;supplier,11672d04c2ec49b892bdec3f15edd4bc,中江县宏钰页岩砖制造有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
221,missing_tax_company_duplicate_review,cooperat_company,6adbc8d2a40a40d9acd1ffe659442ee5,中江县殡仪馆,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
222,missing_tax_company_duplicate_review,cooperat_company,07ccebac69384cc8a87e22d86c26f15e,中江县水利局,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
226,missing_tax_company_supplier_pair_review,company;supplier,9fa39c5aed8840948be4250284d190ab,中江县永兴镇文博建材经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
227,missing_tax_company_supplier_pair_review,company;supplier,416cd14f14194f76a17a5ba2a1e7cae9,中江县永兴镇杰竣建材经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
228,missing_tax_company_supplier_pair_review,company;supplier,398c1df4b3e74d87b7af5e76e2885def,中江县永太镇楷鑫装饰服务部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
229,missing_tax_company_supplier_pair_review,company;supplier,58d90771879e4e73879543eb408bacd2,中江县海华建筑设备租赁有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
233,missing_tax_company_duplicate_review,cooperat_company,27b2d90979824a70bfa942c7c8b32876,中江县财政局,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
237,missing_tax_company_duplicate_review,cooperat_company,0A13302740D84FE8822D78EB8A31A311,中江县辑庆镇尖寨村股份经济合作联合社,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
240,missing_tax_company_supplier_pair_review,company;supplier,32dd6f20f156412d85d0f27aef478287,中江和亿建材有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
241,missing_tax_company_supplier_pair_review,company;supplier,f45715a9085d4c0c8c068b1011231648,中江宇扬建材有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
242,missing_tax_company_supplier_pair_review,company;supplier,90b25150c5ac498cbab74b4815a55618,中江民鑫门窗有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
243,missing_tax_company_supplier_pair_review,company;supplier,3fb8d381391e47c3839a2eb8068089a8,中江海涯供排水设备有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
246,missing_tax_company_supplier_pair_review,company;supplier,bc23a21c2b774d0da4f7cc3421f80864,中海建国际建设咨询集团有限责任公司重庆分公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
251,missing_tax_company_supplier_pair_review,company;supplier,46fc5d5ab95c4e6ca75861945b7e19ee,中石油新疆销售有限公司和田分公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
253,missing_tax_company_supplier_pair_review,company;supplier,bba7a47850aa4b16af50deeb9c0d100b,中硕线缆成都有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
255,missing_tax_company_supplier_pair_review,company;supplier,5e2e1960ce6f4b2db1850178e2688f09,中科高盛咨询集团有限公司重庆分公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
258,missing_tax_company_duplicate_review,cooperat_company,0c942819a1654d8d8a933b14557623e9,中铁一局集团铁路建设有限公司,,company,3,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
263,missing_tax_company_duplicate_review,cooperat_company,cad3f759f4af431f8ce71376bb40cc69,中铁八局集团有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
265,missing_tax_company_duplicate_review,cooperat_company,2244f8ba357a4d63b6217a2904102558,中铁十九局集团有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
273,missing_tax_company_duplicate_review,cooperat_company,9d04bff9ac15462e98252a7916b0e505,中铁十八局集团有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
274,missing_tax_company_duplicate_review,cooperat_company,BEE0150FCC934C1BA1E766303846DC24,中铁十八局集团有限公司巴中恩阳临港产业园项目经理部,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
285,missing_tax_company_supplier_pair_review,company;supplier,f21a5c5ecbc142ad9249ba9e1dfecbbc,丰都县元正物流有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
286,missing_tax_company_supplier_pair_review,company;supplier,d745c0e7a80e4fb0b83f34d6b65aa2fe,丰都县兴丰资产管理有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
288,missing_tax_company_supplier_pair_review,company;supplier,fe67cdff4bef4eefb6215202813f02b3,丰都县如地水泥制品厂二分厂,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
289,missing_tax_company_supplier_pair_review,company;supplier,2e6f035e631748b7ba80f18acfe40b8f,丰都县渝宇商贸有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
290,missing_tax_company_supplier_pair_review,company;supplier,e29ece9877be4057b8150ac62cedbff8,丰都县谭明英管材经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
291,missing_tax_company_supplier_pair_review,company;supplier,963b12e695614279bb94dbb40d7eed0e,丰都县重交再生资源开发有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
292,missing_tax_company_duplicate_review,cooperat_company,7b4a1dfcb7b1494d8fc0fb3c68bee63d,丰都项目劳务公司,,company,5,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
293,missing_tax_company_supplier_pair_review,company;supplier,1cdf33dca75f4b888a927a63ae57f736,临沂市兰山区君顺板材厂,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
294,missing_tax_company_supplier_pair_review,company;supplier,b92e2668b5d7489195d24898f7fe6bd7,临沂市兰山区张浩木业板材厂,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
302,missing_tax_company_supplier_pair_review,company;supplier,11cc663175684fb5b8483a5eb8301a44,乐山富辰机电设备有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
303,missing_tax_company_supplier_pair_review,company;supplier,77b997f5f9054045b2f0eb0ef5510969,乐山市腾宇物资贸易有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
309,missing_tax_company_duplicate_review,cooperat_company,34ae583a09d34a25864e4a1f7ec631e6,二重德阳储能科技有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
312,missing_tax_company_duplicate_review,cooperat_company,4117359e2f71442cad82b68176edc60f,二重（德阳）重型装备有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
319,missing_tax_company_supplier_pair_review,company;supplier,96e38ce9710a4985b5fa548aa21f8df2,云南稳银工程材料有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
320,missing_tax_company_supplier_pair_review,company;supplier,2411238cc22246099baee03350c0f7b1,云南鑫隆佳金属制品有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
327,missing_tax_complex_merge_review,company;supplier,0974505ed1654933a59898852a8f164a,京东五星电器（四川）集团有限公司德阳分公司,,company;supplier,3,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_complex_merge_review
328,missing_tax_company_supplier_pair_review,company;supplier,598703996cc24a3fa6095e0f40571b08,人员工资,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
329,missing_tax_company_supplier_pair_review,company;supplier,902df9afa10b4b7483b2151149772970,什邡市丰源钢结构有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
331,missing_tax_company_duplicate_review,cooperat_company,2af09d4637db4c46b289f59063d7202c,什邡市回澜镇人民政府,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
336,missing_tax_company_supplier_pair_review,company;supplier,ee029a0863d94afba217ea3a1f925eef,什邡市皂角亮点建材经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
347,missing_tax_company_supplier_pair_review,company;supplier,ea254a6a252c405197248e38b1f5c5e4,代开机2,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
354,missing_tax_company_supplier_pair_review,company;supplier,fa98ef260adc4bfea0dea6f4d73f523c,会理县北辰工贸有限责任公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
357,missing_tax_company_duplicate_review,cooperat_company,8B453C7C19D94FCA9DD428C5BB216A0F,伟宸建设集团有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
385,missing_tax_company_supplier_pair_review,company;supplier,3a5883738dd6415ca8aa2a3d457d3883,侯马经济技术开发区海融中小企业融资担保有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
386,missing_tax_company_supplier_pair_review,company;supplier,4f0f1872d98d4b4abeb93e472f070165,俄比有拉,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
387,missing_tax_company_duplicate_review,cooperat_company,af92191fafbb4a3db361973efd89ce1e,保利长大工程有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
401,missing_tax_company_duplicate_review,cooperat_company,157af797b0474331b93e3cf586ba4d0c,公诚管理咨询有限公司,,company,6,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
402,missing_tax_company_supplier_pair_review,company;supplier,e87025bd6e1b41f1a8901a4acc246a41,共管账户（工商银行）,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
408,missing_tax_company_duplicate_review,cooperat_company,017a56d78ef043d191c7435f79130e36,农民工专户,,company,8,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
413,missing_tax_company_supplier_pair_review,company;supplier,9f81db4698404f12b34cefea414ba96e,凉山好达商贸有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
414,missing_tax_company_supplier_pair_review,company;supplier,8eef7c62bef7438fa55af8dc2bc42b36,凉山州乾之泰电控设备制造有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
417,missing_tax_company_supplier_pair_review,company;supplier,005fe89b5fd745749c3f47565e518e9c,凉山州渝佳商贸有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
418,missing_tax_company_supplier_pair_review,company;supplier,a0791b1f91cf4110a4a6258212bcca16,凉山州腾生消防工程有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
422,missing_tax_company_supplier_pair_review,company;supplier,8ce95e428fcc4b769cda5394d292de3f,凉山远顺工程机械设备租赁有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
425,missing_tax_company_supplier_pair_review,company;supplier,cd1d053990db4b70aa38409dd8e5df06,凯里市森霸木业加工厂,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
440,missing_tax_company_supplier_pair_review,company;supplier,a43b46e7d5cc452ca24acf9907822f02,刘忠威、张仁香,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
467,missing_tax_company_duplicate_review,cooperat_company,32c60f33a567466c8bd466249b377c3c,剑阁农商银行零余额账户垫款户,,company,3,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
470,missing_tax_company_duplicate_review,cooperat_company,287f52835d0441d690c0188d13eb6b5c,剑阁县公兴镇人民政府,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
472,missing_tax_company_duplicate_review,cooperat_company,bb4fe8d224ca4e869aa125f4d4398670,剑阁县国库集中支付中心,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
484,missing_tax_company_duplicate_review,cooperat_company,474573b2fdf64b03bc3f838144f1f7cc,办公用品,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
488,missing_tax_company_duplicate_review,cooperat_company,6f6742a3-6e27-41ea-88d3-8f11b7b9444b,劳务人工,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
492,missing_tax_company_duplicate_review,cooperat_company,4a9156aba44040d399d7dfe9dd709994,北京世标认证中心有限公司成都分公司,,company,6,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
497,missing_tax_company_supplier_pair_review,company;supplier,1699ed25cc43401f9dd21b48510baeb7,北京求实工程管理有限公司四川分公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
501,missing_tax_company_duplicate_review,cooperat_company,0d6b4b24f9434d15996b2f5349b749b7,北京筑龙信息技术有限责任公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
509,missing_tax_company_duplicate_review,cooperat_company,05388d5c32cc4d209c350e1e5c5cf937,华略创新（成都）科技有限公司,,company,5,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
514,missing_tax_company_supplier_pair_review,company;supplier,5f69f006d302470b8d90ab49c78a0ebb,南京智鹤电子科技有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
517,missing_tax_company_supplier_pair_review,company;supplier,544a3cfc6eac4619b7e107e65ab4b097,南充士比高暖通有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
538,missing_tax_company_supplier_pair_review,company;supplier,a15bb701ed8e4ec6b42ad70c10c87ede,吉什木惹,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
540,missing_tax_company_duplicate_review,cooperat_company,17ed3cad60174b1197d86c09911738d1,吉林市龙麒工程造价咨询有限责任公司西藏分公司,,company,6,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
547,missing_tax_company_supplier_pair_review,company;supplier,7e9ef10437a64b679fb7ff3796a3f567,向天均，刘际平,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
594,missing_tax_company_supplier_pair_review,company;supplier,d7edf00290174a98bec22bc7f3a10bf4,和田和塑管业有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
595,missing_tax_company_supplier_pair_review,company;supplier,783f457f232f4e3384472a57b8d1e2cc,和田市亿安德商贸有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
596,missing_tax_company_supplier_pair_review,company;supplier,4df2efac64cc4d0b9ace04f3a1942fe2,和田市和耀建材有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
597,missing_tax_company_supplier_pair_review,company;supplier,e80af332df9744e3961fe71b5c775814,和田市大疆电线电缆经销部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
598,missing_tax_company_supplier_pair_review,company;supplier,6c926446f4b34d00908032dec04486c0,和田市宏世通材料装饰部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
